	Cl	mass%	17	0.1259
	K2O	mass%	119	4.8060
	CaO	mass%	120	2.1568
	TiO2	mass%	122	1.4791
	MnO	mass%	125	0.1218
	Fe2O3	mass%	126	8.5924
	Rb2O	mass%	137	0.0243
	SrO	mass%	138	0.0356
	Y2O3	mass%	139	0.0156
	Nb2O5	mass%	141	0.1306
	MoO3	mass%	142	0.0206
	Tc	mass%	43	0.0189
	CdO	mass%	148	0.1262
	In2O3	mass%	149	0.1196
	SnO2	mass%	150	0.1047
	Sb2O3	mass%	151	0.1211
	AM 01 F3.1-925	2011- 9- 6 13:20	15	1
	MgO	mass%	112	1.7300
	Al2O3	mass%	113	19.145
	SiO2	mass%	114	58.828
	P2O5	mass%	115	0.2697
	K2O	mass%	119	5.3184
	CaO	mass%	120	2.3019
	TiO2	mass%	122	1.5354
	MnO	mass%	125	0.0932
	Fe2O3	mass%	126	10.288
	ZnO	mass%	130	0.0300
	Rb2O	mass%	137	0.0334
	SrO	mass%	138	0.0558
	ZrO2	mass%	140	0.1138
	Rh2O3	mass%	145	0.1979
	Ag2O	mass%	147	0.0590
	AM 01 F3-925	2011- 9- 6 13:51	14	1
	Al2O3	mass%	113	18.488
	SiO2	mass%	114	60.020
	P2O5	mass%	115	0.3305
	Cl	mass%	17	0.0944
	K2O	mass%	119	5.5779
	CaO	mass%	120	2.3325
	TiO2	mass%	122	1.8701
	MnO	mass%	125	0.1395
	Fe2O3	mass%	126	10.962
	ZnO	mass%	130	0.0337
	Rb2O	mass%	137	0.0256
	SrO	mass%	138	0.0325
	ZrO2	mass%	140	0.0364
	Ag2O	mass%	147	0.0567
	AM02 F02-941	2011-12-28 18:42	11	1
	MgO	mass%	112	1.7284
	Al2O3	mass%	113	13.814
	SiO2	mass%	114	64.466
	P2O5	mass%	115	0.3854
	K2O	mass%	119	6.7699
	CaO	mass%	120	3.3624
	TiO2	mass%	122	1.6933
	MnO	mass%	125	0.1031
	Fe2O3	mass%	126	7.5602
	SrO	mass%	138	0.0390
	ZrO2	mass%	140	0.0776
